,,Level Unlock,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Al's Penthouse Unlock,3 Final Showdown Tickets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C7648,Bedroom,Al's Penthouse - Bedroom - Behind Door - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7688,Woody Room,Al's Penthouse - Woody Room - Center Table - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C4182,Hallway,Al's Penthouse - Hallway - Vulture - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C3D5A,Bedroom,Al's Penthouse - Bedroom - Vulture - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C3CC2,Bedroom,Al's Penthouse - Bedroom - Gunman #1 - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C3C2A,Bedroom,Al's Penthouse - Bedroom - Gunman #2 - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C389A,Kitchen,Al's Penthouse - Kitchen - Gunman #1 - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C3932,Kitchen,Al's Penthouse - Kitchen - Snake #1 - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
