,,Level Unlock,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Al's Space Land Unlock,2 Final Showdown Tickets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C7508,Race Aisle,Al's Space Land - Race Aisle - Small Box at Entry - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7618,Zurg Aisle,Al's Space Land - Zurg Aisle - Small Box at Entry - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C3472,Central Room,Al's Space Land - Central Room - Floating Zurg Robot - Coin,Coinsanity,,"Laser, Spin",Any 1 of OR,,,,,,,,,,,
0x0C33DA,Central Room,Al's Space Land - Central Room - Bouncing Zurg Robot - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C350A,Central Room,Al's Space Land - Central Room - Propeller Zurg Robot - Coin,Coinsanity,,"Laser, Spin",Any 1 of OR,,,,,,,,,,,
0x0C3FBA,Central Room,Al's Space Land - Central Room - Zurg Car - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C363A,Arcade,Al's Space Land - Arcade - Zurg Car - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
0x0C4052,Race Aisle,Al's Space Land - Race Aisle - Zurg Car #1 - Coin,Coinsanity,,"Laser, Spin, Stomp",Any 1 of OR,,,,,,,,,,,
