,,,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Andy's House Unlock,"Nothing, Available on Start",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C7528,Andy's Room,Andy's House - Andy's Room - On Chair - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7778,Andy's Room,Andy's House - Hallway - Plant #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7478,Garage,Andy's House - Garage - Box near Faucet - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7718,Kitchen,Andy's House - Kitchen - Floor near Stove #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7728,Kitchen,Andy's House - Kitchen - Floor near Stove #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76F8,Kitchen,Andy's House - Kitchen - Floor Puddle #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7708,Kitchen,Andy's House - Kitchen - Floor Puddle #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76E8,Basement,Andy's House - Basement - Stairs #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76D8,Basement,Andy's House - Basement - Stairs #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C76C8,Basement,Andy's House - Basement - Stairs #3 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7888,Basement,Andy's House - Basement - Floor Goop #1 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7898,Basement,Andy's House - Basement - Floor Goop #2 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C78A8,Basement,Andy's House - Basement - Floor Goop #3 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C78B8,Basement,Andy's House - Basement - Floor Goop #4 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C78C8,Basement,Andy's House - Basement - Floor Goop #5 - Coin,Coinsanity,,,No requirements,,,,,,,,,,,
0x0C7608,Living Room,Andy's House - Living Room - Reclining Chair - Coin,Coinsanity,,"Double Jump, Ledge Grab",Any 1 of OR,,,,,Easy,,,No requirements,,,
0x0C75F8,Living Room,Andy's House - Living Room - Green Couch #1 - Coin,Coinsanity,,"Double Jump, Ledge Grab",Any 1 of OR,,,,,Easy,,,No requirements,,,
0x0C75E8,Living Room,Andy's House - Living Room - Green Couch #2 - Coin,Coinsanity,,"Double Jump, Ledge Grab",Any 1 of OR,,,,,Easy,,,No requirements,,,
0x0C75D8,Living Room,Andy's House - Living Room - Green Couch #3 - Coin,Coinsanity,,"Double Jump, Ledge Grab",Any 1 of OR,,,,,Easy,,,No requirements,,,
0x0C7488,Garage,Andy's House - Garage - Between Saws - Coin,Coinsanity,"Ledge Grab, Double Jump",,,,,,,Easy,,,No requirements,,,
0x0C3FBA,Andy's Room,Andy's House - Andy's Room - Propeller Zurg Robot - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C3DF2,Living Room,Andy's House - Living Room - Propeller Zurg Robot #1 - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C3D5A,Living Room,Andy's House - Living Room - Propeller Zurg Robot #2 - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C421A,Garage,Andy's House - Garage - Propeller Zurg Robot #1 - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C3A62,Basement,Andy's House - Basement - Propeller Zurg Robot - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C3F22,Andy's Room,Andy's House - Andy's Room - Bouncing Zurg Robot - Coin,Coinsanity,,"Stomp, Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C3E8A,Andy's Room,Andy's House - Top of Stairs - Bouncing Zurg Robot #1 - Coin,Coinsanity,,"Stomp, Spin, Laser",Any 1 of OR,,,,,,,,,,,
