,,Level Unlock,,,,,,,,,,,,,,,
,,Open,Linear,,,,,,,,,,,,,,
,,Elevator Hop Unlock,3 Final Showdown Tickets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Locations,,,,,,,,,,,,,,,
Coin Address,Coin PopTracker Group,Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
0x0C350A,Shaft Ground Floor,Elevator Hop - Shaft Gr Floor - Floating Zurg Robot - Coin,Coinsanity,,"Spin, Laser",Any 1 of OR,,,,,,,,,,,
0x0C7478,Shaft Ground Floor,Elevator Hop - Shaft Gr Floor - Bunker near Potato Head - Coin,Coinsanity,,,No Requirements,,,,,,,,,,,
0x0C7488,Shaft Ground Floor,Elevator Hop - Shaft Gr Floor - Bunker near Hamm's Room - Coin,Coinsanity,,,No Requirements,,,,,,,,,,,
0x0C74E8,Shaft Ground Floor,Elevator Hop - Shaft Gr Floor - S Shortcut Fan - Coin,Coinsanity,,,No Requirements,,,,,,,,,,,
0x0C74F8,Shaft Ground Floor,Elevator Hop - Shaft Gr Floor - Next to Potato Head - Coin,Coinsanity,,,No Requirements,,,,,,,,,,,
0x0C7498,Electrical Room,Elevator Hop - Electrical Room - Entry - Coin,Coinsanity,,,No Requirements,,,,,,,,,,,
0x0C74A8,Electrical Room,Elevator Hop - Electrical Room - 1st Pole - Coin,Coinsanity,Double Jump,,,,,,,,,,,,,
0x0C74C8,Electrical Room,Elevator Hop - Electrical Room - 2nd Pole - Coin,Coinsanity,"Pole Vault, Double Jump",,,,,,,,,,,,,
