Level Unlock,,,,,,,,,,,,,,,
Open,Linear,,,,,,,,,,,,,,
Toy Barn Encounter Unlock,2 Final Showdown Tickets,,,,,,,,,,,,,,
,Player Selected Pizza Planet Token Amount For 3rd Gate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Locations,,,,,,,,,,,,,,,
Name,Option Availability,Needed Moves (AND),Needed Moves (OR),Notes for Moves,Needed Gadgets (AND),Needed Gadgets (OR),Notes for Gadgets,Needed Misc. (AND),Accessible With Glitch,Needed Moves for Glitch (AND),Needed Moves for Glitch (OR),Notes for Moves,Needed Gadgets for Glitch (AND),Needed Gadgets for Glitch (OR),Notes for Gadgets
Defeat Toy Barn Encounter - Reward 1,Base AP,Spin,"Stomp, Laser",Spin OR Stomp + Laser,,,,,,,,,,,
Defeat Toy Barn Encounter - Reward 2,Base AP,Spin,"Stomp, Laser",Spin OR Stomp + Laser,,,,,,,,,,,
Battery (South) - Toy Barn Encounter,Batterysanity,,,No requirements,,,,,,,,,,,
Battery (North) - Toy Barn Encounter,Batterysanity,,,No requirements,,,,,,,,,,,
Battery (East) - Toy Barn Encounter,Batterysanity,,,No requirements,,,,,,,,,,,
Battery (West) - Toy Barn Encounter,Batterysanity,,,No requirements,,,,,,,,,,,
