Level,Name,Option,Coin Address,PopTracker Group,Logic,Easy Skip,Hard Skip,Insane Skip,Misc
Andy's House,Andy's House - Andy's Room - On Chair - Coin,Coinsanity,0x0C7528,Andy's Room,,,,,
Andy's House,Andy's House - Hallway - Plant #1 - Coin,Coinsanity,0x0C7778,Andy's Room,,,,,
Andy's House,Andy's House - Garage - Box near Faucet - Coin,Coinsanity,0x0C7478,Garage,,,,,
Andy's House,Andy's House - Kitchen - Floor near Stove #1 - Coin,Coinsanity,0x0C7718,Kitchen,,,,,
Andy's House,Andy's House - Kitchen - Floor near Stove #2 - Coin,Coinsanity,0x0C7728,Kitchen,,,,,
Andy's House,Andy's House - Kitchen - Floor Puddle #2 - Coin,Coinsanity,0x0C76F8,Kitchen,,,,,
Andy's House,Andy's House - Kitchen - Floor Puddle #1 - Coin,Coinsanity,0x0C7708,Kitchen,,,,,
Andy's House,Andy's House - Basement - Stairs #1 - Coin,Coinsanity,0x0C76E8,Basement,,,,,
Andy's House,Andy's House - Basement - Stairs #2 - Coin,Coinsanity,0x0C76D8,Basement,,,,,
Andy's House,Andy's House - Basement - Stairs #3 - Coin,Coinsanity,0x0C76C8,Basement,,,,,
Andy's House,Andy's House - Basement - Floor Goop #1 - Coin,Coinsanity,0x0C7888,Basement,,,,,
Andy's House,Andy's House - Basement - Floor Goop #2 - Coin,Coinsanity,0x0C7898,Basement,,,,,
Andy's House,Andy's House - Basement - Floor Goop #3 - Coin,Coinsanity,0x0C78A8,Basement,,,,,
Andy's House,Andy's House - Basement - Floor Goop #4 - Coin,Coinsanity,0x0C78B8,Basement,,,,,
Andy's House,Andy's House - Basement - Floor Goop #5 - Coin,Coinsanity,0x0C78C8,Basement,,,,,
Andy's House,Andy's House - Living Room - Reclining Chair - Coin,Coinsanity,0x0C7608,Living Room,Double Jump or Ledge Grab,(always),,,
Andy's House,Andy's House - Living Room - Green Couch #1 - Coin,Coinsanity,0x0C75F8,Living Room,Double Jump or Ledge Grab,(always),,,
Andy's House,Andy's House - Living Room - Green Couch #2 - Coin,Coinsanity,0x0C75E8,Living Room,Double Jump or Ledge Grab,(always),,,
Andy's House,Andy's House - Living Room - Green Couch #3 - Coin,Coinsanity,0x0C75D8,Living Room,Double Jump or Ledge Grab,(always),,,
Andy's House,Andy's House - Garage - Between Saws - Coin,Coinsanity,0x0C7488,Garage,Ledge Grab and Double Jump,(always),,,
Andy's House,Andy's House - Andy's Room - Propeller Zurg Robot - Coin,Coinsanity,0x0C3FBA,Andy's Room,Spin or Laser,,,,
Andy's House,Andy's House - Living Room - Propeller Zurg Robot #1 - Coin,Coinsanity,0x0C3DF2,Living Room,Spin or Laser,,,,
Andy's House,Andy's House - Living Room - Propeller Zurg Robot #2 - Coin,Coinsanity,0x0C3D5A,Living Room,Spin or Laser,,,,
Andy's House,Andy's House - Garage - Propeller Zurg Robot #1 - Coin,Coinsanity,0x0C421A,Garage,Spin or Laser,,,,
Andy's House,Andy's House - Basement - Propeller Zurg Robot - Coin,Coinsanity,0x0C3A62,Basement,Spin or Laser,,,,
Andy's House,Andy's House - Andy's Room - Bouncing Zurg Robot - Coin,Coinsanity,0x0C3F22,Andy's Room,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Top of Stairs - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C3E8A,Andy's Room,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Kitchen - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C363A,Kitchen,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Basement - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C39CA,Basement,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Garage - Bouncing Zurg Robot #1 - Coin,Coinsanity,0x0C42B2,Garage,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Garage - Bouncing Zurg Robot #2 - Coin,Coinsanity,0x0C434A,Garage,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Garage - Bouncing Zurg Robot #3 - Coin,Coinsanity,0x0C376A,Garage,Stomp or Spin or Laser,,,,
Andy's House,Andy's House - Andy's Room - Desk - Coin,Coinsanity,0x0C7538,Andy's Room,Double Jump and Ledge Grab,Double Jump,,,
Andy's House,Andy's House - Andy's Room - Bed - Coin,Coinsanity,0x0C7548,Andy's Room,Double Jump and Ledge Grab and Push,Double Jump,,,
Andy's House,Andy's House - Andy's Room - Dresser - Coin,Coinsanity,0x0C74F8,Andy's Room,Double Jump and Ledge Grab and Push,Double Jump,,,
Andy's House,Andy's House - Andy's Room - Crib #1 - Coin,Coinsanity,0x0C7508,Andy's Room,Double Jump and Ledge Grab and Push and Pole Climb and Rope Sliding and Visor,Double Jump or (Ledge Grab and Pole Climb and Push),,,
